run,mean_reward,std_reward,learning_rate,gamma,batch_size,buffer_size,exploration_fraction
1,111.4994803,4.508641529186836,0.001,0.99,64,10000,0.2
2,74.76920829999999,18.949611661341592,0.0005,0.99,64,10000,0.3
3,113.82062379999999,4.534721223169143,0.001,0.95,64,10000,0.4
4,113.0592612,6.588647648733504,0.001,0.99,128,20000,0.2
5,56.12149724999999,5.081720303937997,0.002,0.99,32,5000,0.25
6,107.06019330000001,3.278506568941827,0.001,0.9,64,10000,0.2
7,110.48074349999999,3.7764083026867,0.0005,0.99,128,50000,0.2
8,112.91446575,5.553194625694457,0.005,0.95,64,10000,0.15
9,111.54023610000002,5.168976019910838,0.001,0.99,64,10000,0.1
10,104.33161654999999,13.866426175514519,0.0002,0.99,256,100000,0.25
