run,mean_reward,std_reward,learning_rate,gamma,n_steps,ent_coef
1,108.40314579999999,3.8026868766081647,0.0003,0.99,512,0.01
2,39.626382,3.9571027027287524,0.0001,0.99,512,0.01
3,112.74404940000002,5.502745902894936,0.0003,0.95,512,0.01
4,105.04066850000001,5.344632255493605,0.0003,0.99,1024,0.01
5,98.5203313,6.082581466396684,0.0003,0.99,512,0.05
6,111.69957940000002,5.2122169769543785,0.0003,0.99,512,0.0
7,113.81126259999999,3.8785669523050186,0.0003,0.99,256,0.01
8,113.264346,3.1773290973254884,0.0005,0.99,2048,0.02
9,117.19169769999999,4.806778615715583,0.001,0.95,512,0.01
10,57.40202049999999,6.200669457827683,0.0002,0.99,1024,0.05
