run,mean_reward,std_reward,lr,gamma,hidden
1,0.9257835951044365,11.359138054400782,0.001,0.99,128
2,-0.9574714300659171,10.804741087257998,0.0005,0.99,128
3,-10.369405166838144,1.8079098290196327,0.002,0.99,128
4,51.04570316766865,18.63661693055792,0.001,0.95,128
5,-7.461163920203653,4.991955100751124,0.001,0.9,128
6,41.587418856018395,7.358387060737158,0.001,0.99,64
7,42.33324835951622,3.8731190324960854,0.001,0.99,256
8,30.70108598623155,23.97774348117131,0.0005,0.95,64
9,38.5723261924431,16.67008073164567,0.002,0.95,256
10,-10.02306841296246,1.7803409989413472,0.005,0.99,128
